date,actual,goal
2018-07-29,9250.0,7140.0
2018-07-30,6392.0,7360.0
2018-07-31,5668.0,7270.0
2018-08-01,10286.0,6950.0
2018-08-02,5396.0,7290.0
2018-08-03,7667.0,7100.0
2018-08-04,4581.0,7160.0
2018-08-05,7215.0,6910.0
2018-08-06,7395.0,6940.0
2018-08-07,4319.0,7040.0
2018-08-08,5623.0,6770.0
2018-08-09,20134.0,6540.0
2018-08-10,9746.0,7900.0
2018-08-11,8088.0,8270.0
2018-08-12,7811.0,8260.0
2018-08-13,8404.0,8170.0
2018-08-14,8319.0,8200.0
2018-08-15,9623.0,8230.0
2018-08-16,11532.0,8510.0
2018-08-17,12866.0,9120.0
2018-08-18,15264.0,9870.0
2018-08-19,7928.0,10950.0
2018-08-20,7826.0,10650.0
2018-08-21,7215.0,10090.0
2018-08-22,6048.0,9520.0
2018-08-23,13348.0,8830.0
2018-08-24,9543.0,9290.0
2018-08-25,8965.0,9340.0
2018-08-26,13843.0,9310.0
2018-08-27,7699.0,9770.0
2018-08-28,7432.0,9570.0
2018-08-29,3551.0,9150.0
2018-08-30,2861.0,8030.0
2018-08-31,8196.0,7000.0
2018-09-01,9363.0,7120.0
2018-09-02,3124.0,7570.0
2018-09-03,5119.0,7130.0
2018-09-04,9180.0,6730.0
2018-09-05,7607.0,6980.0
2018-09-06,8617.0,7110.0
2018-09-07,6351.0,7420.0
2018-09-08,7370.0,7320.0
2018-09-09,11359.0,7330.0
2018-09-10,11290.0,8140.0
2018-09-11,9593.0,8770.0
2018-09-12,7976.0,8940.0
2018-09-13,11055.0,8850.0
2018-09-14,11008.0,9070.0
2018-09-15,6062.0,9460.0
2018-09-16,12171.0,9120.0
2018-09-17,11151.0,9430.0
2018-09-18,8552.0,9780.0
2018-09-19,11379.0,9660.0
2018-09-20,7726.0,9840.0
2018-09-21,11049.0,9630.0
2018-09-22,5828.0,9780.0
2018-09-23,9469.0,9390.0
2018-09-24,6616.0,9400.0
2018-09-25,11389.0,9130.0
2018-09-26,8056.0,9360.0
2018-09-27,11208.0,9230.0
2018-09-28,6934.0,9430.0
2018-09-29,9953.0,9180.0
2018-09-30,7669.0,9260.0
2018-10-01,7452.0,9100.0
2018-10-02,5036.0,8770.0
2018-10-03,11303.0,8030.0
2018-10-04,8090.0,8360.0
2018-10-05,7538.0,8340.0
2018-10-06,9758.0,8180.0
2018-10-07,8034.0,8340.0
2018-10-08,9439.0,8310.0
2018-10-09,11534.0,8430.0
2018-10-10,10273.0,9050.0
2018-10-11,10582.0,9300.0
2018-10-12,8117.0,9560.0
2018-10-13,7617.0,9420.0
2018-10-14,6301.0,9060.0
2018-10-15,7079.0,8510.0
2018-10-16,6632.0,8230.0
2018-10-17,8975.0,7910.0
2018-10-18,7336.0,8020.0
2018-10-19,8079.0,7960.0
2018-10-20,8457.0,7980.0
2018-10-21,5668.0,8080.0
2018-10-22,7954.0,7840.0
2018-10-23,6711.0,7860.0
2018-10-24,5700.0,7750.0
2018-10-25,7545.0,7340.0
2018-10-26,7992.0,7360.0
2018-10-27,10579.0,7490.0
2018-10-28,8129.0,8110.0
2018-10-29,7968.0,8120.0
2018-10-30,6177.0,8110.0
2018-10-31,7392.0,7730.0
2018-11-01,10781.0,7670.0
2018-11-02,10336.0,7990.0
2018-11-03,9968.0,8460.0
2018-11-04,8312.0,8770.0
2018-11-05,15125.0,8730.0
2018-11-06,9489.0,9370.0
2018-11-07,8466.0,9400.0
2018-11-08,12449.0,9310.0
2018-11-09,7286.0,9630.0
2018-11-10,8243.0,9400.0
2018-11-11,7090.0,9170.0
2018-11-12,8836.0,8760.0
2018-11-13,7840.0,8770.0
2018-11-14,11211.0,8680.0
2018-11-15,7271.0,8940.0
2018-11-16,6350.0,8780.0
2018-11-17,7323.0,8300.0
2018-11-18,11588.0,8110.0
2018-11-19,6180.0,8460.0
2018-11-20,7871.0,8240.0
2018-11-21,11628.0,8170.0
2018-11-22,7888.0,8520.0
2018-11-23,10532.0,8460.0
2018-11-24,11999.0,8670.0
